docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;selection
doc#318;1533-1691;3_SCIENT_VIVIANI_ESERCITAZIONE MATEMATICA;SCIENTIFICI;Vincenzo Viviani;Esercitazione matematica;XVII;;parti - N . 62831853070 . La pianta del quadrato medesimo A B C D . Al Cielo della sua;mezza botte;sta precisamente Come il raggio O D dello stesso cerchio alla quarta parte della sua circonferenza - Cioè prossimamente Come;non_ev
doc#487;1841-1947;5_ESP_RAIBERTI_L'ARTE DI CONVITARE;ESPOSITIVI;Giovanni Raiberti;L'arte di convitare;1929;;"è in armonia ; e la sposa grassa e rubizza , con indosso tutti i colori dell ' iride e";mezza bottega;d ' orefice , incoraggiata assiduamente con la voce e coi gomiti a mangiare , risponde sghignazzando : ' Sono;non_ev
doc#502;1841-1947;5_PERS_TOZZI_NOVALE;PERSONALI;Federigo Tozzi;Novale;1925;;di gridarlo a tutti , a volte vorrei circondarlo di un segreto . . . Ieri sera mi ubriacai con;mezza bottiglia;di cognac . Stamani mi duole fortemente la testa e mi brucia il cervello . Ho passato la notte su;non_ev
doc#489;1841-1947;5_PERS_ABBA_CRONACHE A MEMORIA;PERSONALI;Giuseppe Cesare Abba;Cronache a memoria;1910;;da erigersi in qualche punto lassù , forse sul culmine di Monte Legino , dove con 1200 granatieri della 117a;mezza brigata;, chiamata poi sempre la brava , giurati alla morte , stette il colonnello Rampon , contro tutte le forze;non_ev
doc#489;1841-1947;5_PERS_ABBA_CRONACHE A MEMORIA;PERSONALI;Giuseppe Cesare Abba;Cronache a memoria;1910;;questo ridotto , riconoscibile ancora da lontano : e si immagini i mille dugento soldati della ventunesima e della centodiciassettesima;mezza brigata;, che con i loro avanzi formarono poi la trentaduesima , nelle guerre napoleoniche chiamata la brava . So d;non_ev
doc#496;1841-1947;5_PERS_GIUSTI_EPISTOLARIO;PERSONALI;Giuseppe Giusti;Epistolario;1859;;era pieno ingombro , e che ora di molte e molte fatiche non mi rimangono che pochi frantumi di carta;mezza bruciata;. Un Virgilio , un Dante , due Dizionari , un ' opera di Geologia , un volume di Bonnet;ev
doc#418;1692-1840;4_PROSA_MANZONI_PROMESSI SPOSI40;PROSA;Alessandro Manzoni;Promessi sposi (quarantana);1840;;", - e pensava all ' innominato , - le braccia al collo ; e con me , per una";mezza bugia;", detta a solo fine di salvar la pelle , tanto chiasso . Ma sono superiori ; hanno sempre ragione";ev
doc#123;1376-1532;2_PERS_GUICCIARDINI_DIARIO DEL VIAGGIO IN SPAGNA;PERSONALI;Francesco Guicciardini;Diario del viaggio in Spagna;XV;toscano;é vòto , e da uno alloggiamento buono a uno altro sono otto , dieci leghe che sono una giornata;mezza buona;. Venimo a dì 19 da Monte Albano a desinare a Santa Eufemia , discosto due leghe , e di;ev
doc#549;1841-1947;5_PROSA_DE AMICIS_CUORE;PROSA;Edmondo De Amicis;Cuore;1886;;il muratorino che ha messo su un cappellone di paglia , che gli dà l ' aria d ' una;mezza candela;col paralume , ed è un ridere a vedergli fare il muso di lepre là sotto . Coretti anche ha;non_ev
doc#505;1841-1947;5_POES_BELLI_SONETTI;POESIA;Giuseppe Gioacchino Belli;Sonetti;1864-65;;mmanna , Vonno ruzzacce , corpo d ' un giudio ! , Cor ' un brodo ch ' è llongo;mezza canna;. Bbe ' ? mme la vòti , o nnò , la sputarola ? . . . Eh ttira un;non_ev
doc#505;1841-1947;5_POES_BELLI_SONETTI;POESIA;Giuseppe Gioacchino Belli;Sonetti;1864-65;;! Ma ssi arrivo a llevà lo stelocanna , Madonna ! le pellicce hanno da èsse Da misurasse co la;mezza canna;! Allora vedi da ste ggente fesse , Co ttutta la su ' bboria che li scanna , Le scappellate;non_ev
doc#550;1841-1947;5_PROSA_DE ROBERTO_VICERÈ;PROSA;Federico De Roberto;I Vicerè;1894;;"mai con questo nome ; ma ora Palma , ora Palmo , e le diede come arma parlante ora la";mezza canna;", che conta appunto quattro palmi , con la quale i rivenduglioli misurano la cotonina ; ora due palme di";non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;150 . Carnesecca , grammi 50 . Burro , grammi 40 . Un quarto di una cipolla comune . Una;mezza carota;. Due costole di sedano bianco lunghe un palmo , oppure l ' odore del sedano verde . Un pizzico;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;un battuto di cipolla ( un quarto o mezza se è piccola ) , un bel pezzo di sedano ,;mezza carota;", grammi 40 di prosciutto grasso e magro e un pezzetto di burro ; sale e pepe per condimento .";non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;perché trovasi comune da noi . Componete un battuto , tritato fine , con un buon pizzico di prezzemolo ,;mezza carota;, un pezzo di sedano , mezzo spicchio d ' aglio e , se il pesce fosse grammi 600 circa;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;circa della detta marsala e coi seguenti odori tagliati all ' ingrosso : un quarto di una grossa cipolla ,;mezza carota;, una costola di sedano lunga un palmo , diversi gambi di prezzemolo e due foglie di alloro . Conditela;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;ma conditeli prima con sale e pepe . Fate un battuto con un quarto di cipolla di media grandezza ,;mezza carota;e una costola di sedano lunga un palmo . Tritatelo all ' ingrosso con la lunetta e mettetelo al fuoco;non_ev
doc#549;1841-1947;5_PROSA_DE AMICIS_CUORE;PROSA;Edmondo De Amicis;Cuore;1886;;. È un diavolo , che sempre vorrebbe fare , rimestare , sfaccendare . Aveva già portato sulle spalle una;mezza carrata;"di legna , la mattina presto ; eppure galoppò per tutta la casa , osservando tutto e parlando sempre ,";non_ev
