docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;pos
doc#356;1692-1840;4_ESP_PALMERI_CALENDARIO DELLO AGRICOLTORE SICILIANO;ESPOSITIVI;Niccolò Palmeri;Calendario dello agricoltore siciliano;1829;;quanto più invecchiano . È degno ancora di considerazione che le polveri vegetali , non potendo contenere quella copia di;semi che;si contengono negli ordinarj ingrassi , possono adoperarsi nello stesso anno col frumento , senza farvi precedere la coltura di;-
doc#494;1841-1947;5_PERS_FUCINI_FOGLIE AL VENTO;PERSONALI;Renato Fucini;Foglie al vento: ricordi, novelle e altri scritti;1922;;non l ' ebbi quasi tutta imparata a memoria . E forse quella lettura gettò nel mio piccolo cervello quei;semi che;poi fruttificarono coi sonetti in vernacolo pisano . In quei giorni , avevo circa undici anni , oscillando nelle mie;-
doc#535;1841-1947;5_POES_PASCOLI_POEMI DEL RISORGIMENTO;POESIA;Giovanni Pascoli;Poemi del risorgimento;1913;;gregge errante , e l ' erba che più bella rinasce sempre sotto il dente al gregge , ridean dei;semi che;dovean sotterra marcire al buio . E gli uni e gli altri torvi aveano gli occhi , e l ';-
doc#548;1841-1947;5_PROSA_D'AZEGLIO_RACCONTI;PROSA;Massimo D'Azeglio;Racconti, leggende e ricordi della vita italiana;1856-57;;molto esagerava , non influisse sul suo carattere , e non germogliassero quindi nel suo cuore molti de ' tristi;semi che;divengono poi le spine della vita . Gelosia , irritazione , invidia , e poi sfiducia e tristezza , amor;-
doc#555;1841-1947;5_PROSA_SVEVO_COSCIENZA DI ZENO;PROSA;Italo Svevo;La coscienza di Zeno;1923;;a guardia , ma non verso il versante da cui io ero venuto , e alcuni altri stavano in un;semi circolo;dinanzi ad un ufficiale che dava loro delle istruzioni che illustrava con una carta topografica ch ' egli teneva in;non_ev
doc#367;1692-1840;4_PERS_METASTASIO_LETTERE;PERSONALI;Pietro Metastasio;Lettere;XVIII;;non se il cibo francese , e chiamar furto quella riproduzione che si forma nel mio terreno , de ';semi co;' quali ho creduto lodevole e necessaria cura il fecondarlo . Hanno bisogno di questa coltura non meno il grasso;-
doc#536;1841-1947;5_POES_PASCOLI_PRIMI POEMETTI;POESIA;Giovanni Pascoli;Primi poemetti;1904;;viola , lo squillar de ' pennati sul marrello . II E Rosa in tanto , al davanzale , i;semi coglieva;d ' una spiga d ' amorino , e mondava dal secco i crisantemi . Si sfumò d ' oro;-
doc#530;1841-1947;5_POES_PASCOLI_CANZONI DI RE ENZIO;POESIA;Giovanni Pascoli;Canzoni di Re Enzio;1909;;Con l ' eterne mani vi avea dal cielo trapiantato i rami de li odoriferi alberi , e gettato i;semi colti;nelle stelle d ' oro . E v ' era in mezzo una fontana viva che l ' irrigava ,;-
doc#69;XIII cent.-1375;1_PROSA_BOCCACCIO_COMMEDIA NINFE FIORENTINE;PROSA;Giovanni Boccaccio;Commedia delle ninfe fiorentine;1341-42;toscano;, sostenitrice di tutti gli affanni , ancora intera , rotta da Saturno col ricurvo aratro , ricevette i nuovi;semi con;diversi lavori prestati alla sua fede , e la non conosciuta biada con alte spighe rendé in molti doppi .;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;, come quelli che sono meno maturi e meno sviluppati in seno alle pianticine loro madri . I germi o;semi contagiosi;vengono forniti dalla materia esantematica ossia dalla bianca efflorescenza che appare sull ' animale perito di moscardino e quindi consolidato;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;contagiosi da essi rigenerati , e quelli e questi , altri bachi piu ' provetti ancora ammalando , ed i;semi contagiosi;ancor piu ' moltiplicandosi e spargendosi all ' intorno , spingono ben presto l ' epidemia al sommo grado di;-
doc#425;1692-1840;4_SCIENT_BASSI_DEL MAL DEL SEGNO;SCIENTIFICI;Agostino Bassi;Del mal del segno calcinaccio o moscardino;1835;;calcinali . ( 3 ) In piu ' maniere possono essere le uova dei filugelli contaminate alla loro superficie dai;semi contagiosi;in discorso , cioe ' dalle farfalle infettate dal contatto di bozzoli o tavole o altri effetti sparsi di germi;-
